《机械设计基础》这本书的作者是谁？	杨可桢，程光蕴，李仲生	其他
谁是2008年夏季奥林匹克运动会日本代表团的旗手？	福原爱	人物
苍井空的胸有多大？	g	英文名
食戟之灵的揭载号是多少？	2012年52号	日期
狗号码通是什么时候开发的？	2012年	日期
台北联营公车218路线的派车厂是什么？	秀山站	地点
谁是台北市政府的主要官员？	柯文哲	台北市长
黎曙东的字号是什么？	明甫	历史人物
史蒂芬斯－强森综合症的medlineplus是什么？	851	数字
南京云锦木机妆花手工织造技艺是属于什么级别的遗产？	第一批国家级非物质文化遗产	遗产
李志勋有多高多重？	184cm/72kg	单位
什么是库勒潘鳅的异名？	acanthophtalmus kuhli	英文名
洮南兴隆街的东西长是多少？	3公里	单位
ntn 63/22llu轴承有多宽？	16mm	单位
你知道学雷锋纪念日有哪些活动吗？	做好事	字词
喜得盛 rx200有多大？	700c*490mm	单位
刘爽在哪里工作？	湛江人民广播电台	网站
msi.dll有哪些dll 文件？	msi 或者 msi.dll	公司
总督府是什么时候开始造的？	1837年	日期
谁是隆林中国溪蟹的定名者？	1994 dai et naiyanetr	单位
异世锋芒属于什么类型？	玄幻小说	小说
请问阴暗隙蛛的功能类别是什么？	捕食性天敌	生物
鄂州鼓楼小学是什么性质的学校？	初级小学 学校法人	小学
中国人民公安大学公安学研究所属于什么院校？	中国人民公安大学	学校
潘玉利是什么时候工作的？	1905年5月27日	日期
谁监督了真女神转生d？	小林哲也（第1話 - 第26話）	符号
谁建立了楚？	林士弘	人物
谁是革命军的领袖？	蒙奇·d·龙	人物
修真世界是什么时候首发的？	2010年7月4日	日期
交通部民用航空局的电话是多少？	+886 2 2349-6280	语言
和谐号crh380b型电力动车组是什么时候制造的？	2010年--现在	日期
天津增廿九含有多少金属量？	铁/氢 = -0.20[6]	语言
阿迪萨克·克莱松在哪个俱乐部效力？	武里南联队	体育组织
重庆市阜泰建设（集团）有限公司注册了多少钱？	5000.98万元	单位
加贺号航空母舰是什么时候除籍的？	1942年8月10日	日期
请问钠离子浓度计的工作电源是多少？	220v/50-60 hz/3a	单位
你能说出石首市博物馆的邮编吗？ 	434400	数字
大家知道koyo 23064rk+h3064轴承的型号吗？	23064rk+h3064	单位
凯斯西储大学的排名状况如何？	37（us news），88（times)	单位
江西省防震减灾工程研究所属于什么性质的单位？	事业单位	单位
netcore ne110适用于什么网络？	千兆以太网	计算机术语
贝加尔湖最大有多深？	1620米	单位
sts-34有多少成员？	5 人	汉字
普罗旺斯高地世界地质公园有哪些相关信息？	区内具有各种各样的自然环境，其最低处有浓香的葡萄酒产地和橄榄树生长带，最高的山峰则位于高高的阿尔卑斯山脉上。区包含依照1976年环境保护法注册的18处地质遗迹	日期
顺天使用了多久？	3年	日期
肛门息肉应该在哪就诊？	外科	疾病
证的部首是什么？	讠	字词
你知道天平山真人cs的伤亡情况吗？	30 25	字词
vidar hd3630(plus)的功率(w)有多少？	180	数字
烯丙基氰的国标编号是什么？	61104	数字
机场路有多长？	4公里	单位
佳能ef-m 55mm f/1.3的镜头有什么作用？	标准镜头 （定焦）	字词
lobos lb-usbp1k 有什么网络协议？	tcp/ip	技术
格林纳达的国际电话区号是多少？	1473	数字
γ-羟基丁酸的atc编码是多少？	n01ax11	单位
第15届釜山国际电影节是在哪举办的？	韩国釜山	地点
紫铜的相对密度是多少？	8.9	书籍
佳能ef 22-55mm f/4-5.6 usm 的焦距范围是多少？ 	22-55mm	单位
请问平西抗日战争纪念馆的主题是什么？	爱国主义教育基地	组织机构
你知道藏传佛教萨迦派的版次吗？	1	数字
朴俊锡的血型是什么？	b	英文名
宇通zk6128hg是什么时候生产的？	中国大陆：未知  中华民国：2009年至今	日期
谁是厄夜怪客的总导演？	饭田马之介	人物
秋月级驱逐舰的次型是什么？	初雪级驱逐舰	交通工具
管理科学奖是哪个部门批准的？	科技部	科研机构
田东县第二小学的面积有多大？	2920平方米	单位
东来东往的偶像是谁？	古天乐 迈克尔杰克逊	人物
博达2621的局域网接口有多少？	2个	音乐作品
朝河兰从事于什么时候？	2001年－2003年	日期
旗木朔茂的出身如何？	火之国 木叶隐村	地点
阿炳的艺名是什么？	瞎子阿炳	人物
什么是贝尔格莱德机场的四字代码？	lybe	英文名
飞利浦hr2850的电压是多少？	220v/50hz	单位
请问北京昌平阳光医院属于哪个区？	北京市昌平区	地点
霸宠甜心：首席vip情人是什么时候驻站的？	2012-03-02	日期
资源环境与城乡规划管理专业授予了什么学位？	理学	思想
阿尔弗雷德·拉塞尔·华莱士在哪个国家有公民权？	大英帝国	地点
请问济南银屑病医院占地多少？	3万平方米	单位
深圳市金秋谷电子有限公司是什么时候成立的？	成立于2003年11月	日期
你知道法国国家男子足球队的世界排名吗？	8（2014年10月）[2]	日期
南京市旅游市场管理条例的第二章是什么？	经营资质	公司
松山城是什么时候建造的？	1240年	日期
谁发布了湖北省社会治安综合治理条例？	湖北省人民代表大会常务委员会	国家机构
救的五笔98是什么？	fiyt	英文名
圣心圣殿是什么时候开工的？	1905	数字
阿瓦隆传说纸牌修改器有多大？	1.23 mb	单位
托特纳姆热刺足球俱乐部的球衣是谁供应的？	under armour （ua）	单位
你知道辣椒疫霉的拉丁纲名吗？	：phycomycetes	单位
中华路的通车长度是多少？	3.6公里	单位
朋友群属于什么性质？	免费	词语
莫斯科乐天酒店周围有什么？	红场	歌曲
机甲战线有角色配音吗？	没有	影视作品
迅钢护肩的力量有多大？	47	数字
百科特奥dh-838d 的净重是多少？	：31kg	单位
星程乾生元假日酒店属于什么类型？	连锁酒店	组织机构
2×2在哪些地区播出？ 	莫斯科 、莫斯科州、圣彼得堡 、下诺夫哥罗德 、沃罗涅日 、米阿斯 俄罗斯 、乌克兰 、哈萨克斯坦斯坦 、拉脱维亚 、格鲁吉亚	外国行政区划
请问植物秸秆煤炭成型机的功率是多少？	18.5kw	单位
物语系列发行了多少册？	14卷(至2013年5月)	日期
白石藏之介属于哪个学校？	四天宝寺	景点
你知道速水重道的罗马音怎么读吗？	mocomichi hayami	英文名
美卡芬艾蜜粉是什么品牌的？	蜜粉	化妆品
纽曼k95的定位精度是多少？	<10m	单位
成都市城市轨道交通运营管理办法是什么时候生效的？	2010年9月20日	日期
星榜传媒的旗下有什么品牌？	中国作家富豪榜	超级文化品牌
与结安答相关的书籍是什么？	《射雕英雄传》	影视作品
你知道tvn属于什么集团吗？	cj e&m	单位
索尼s71 的点距是多少？	0.264mm	单位
日剧学院赏是什么时候开始的？	1994年4月	日期
backdoor/magiclink.cq是什么类型的病毒？	后门	电影
快速无机绳绞车的牵引力是多少？	100/50kn	单位
女慰慈圹铭属于什么体裁？	散文	字词
请问中医医院风湿病科建设与管理指南是什么时候印发的？	2011年9月14日	日期
你知道热水镇的面积是多少吗？	185.34平方公里	单位
粗磨指环有多少智力？	118	数字
你知道与黎刹纪念体育场有关的事迹吗？	举办1954年亚洲运动会	日期
sts-85是在哪里发射的？	佛罗里达州肯尼迪航天中心lc 39a	歌曲
虎ii坦克的悬挂系统是什么？	扭力杆悬挂（英语：torsion bar suspension）	单位
赵圩组的地区代码是多少？	20	数字
麒麟传说是什么时候申报的？	2006	数字
你知道伊莉丝·克伦贝丝的瞳孔颜色吗？	棕色	字词
请问宁安城际铁路是什么时候通车的？	2015年10月02日全线段开通运营	日期
郑济高速铁路设计的时速是多少？	350km/h	单位
哪些系统支持i-rocks kr6402h-wh铝合金薄型巧克力键盘？	window 7，window vista，	单位
请问铭瑄极光8600gt超金钻版的容量是多少？	256mb ddriii	单位
太阳报是什么版式？	大报	字词
杜牧的字号是什么？	牧之	人物
伊视通et-h2155的成像色彩是什么？	彩色	词语
谁是青春之歌的画家？	秦威	人物
什么是glyder的开发程序？	glu	英文名
动物科学与技术主要有哪些课程？	动物解剖学与组织胚胎学	书籍
老友记是什么时候首播的？	1997年9月25日－1998年5月7日	日期
精嘉bbh-100有多重？	0.45kg	单位
你知道上海公交17路的服务时间吗？	05:00-23:00	日期
有人知道英泰商城是什么时候建成的吗？	2012年	日期
富士施乐c2263 l的复印速度是多少？	20cpm	单位
图吧导航的下载次数是多少？	24092	数字
itoos t59(4gb)有fm收音功能吗？	有	字词
谁是2006年至2007年英格兰足球甲级联赛的首席射手？	比利·夏普 （billy sharp，30球）	人物
黄机是哪个民族的？	汉	城市
diy供暖系统的内容二是什么？	介绍	字词
谁是孛儿只斤的著名人物？	铁木真 蒙哥 鲍喜顺 巴森	人物
种福桥有多长？	31米	单位
亚帝伦al-815属于什么类型？	sdram	英文名
比利时国铁18型电力机车的轮径是多少？	1,100毫米	单位
天龙八部在无线电视翡翠台的首播时间是什么？	1997年7月28日-9月26日	日期
环球航空800号班机空难中有多少名受伤者？	0	数字
西区的马科恩-赖肖尔表记法是什么？	seo-ku	单位
不变的音乐由谁录音？	谢非	人物
欧洲城服装市场的新房属于什么类型？	住宅	词语
bwe国际建筑给排水展会在哪里举办？	上海新国际博览中心	组织机构
25g型客车是什么时候制造的？	1992年至今	日期
阿富汗伊斯兰共和国的代码是多少？	afg	英文名
msi.dll的dll 名称是什么？	windows installer library	英文名
你知道奔驰sl级2011款 sl350 grand edition的最高车速吗？	250(km/h)	单位
极品废物属于什么类型？	小说	语言术语
斯特凡·石崎在球场的哪个位置？	中场	人物
哪里是牛角梳的主要产地？	福州 青海 宾阳 乌镇 湘西	地点
请问虫师在哪些期间连载？	1999年－2008年	日期
你知道北岛有多少人口吗？	3,328,700（2010年估计统计）	日期
宫泽有纪宁的哥哥是谁？	宫泽和人	人物
via cx700m的usb接口是什么？	usb 2.0	歌曲
大家了解土卫三的表面重力吗？	0.145 m/s2	单位
你们知道港铁都城嘉慕电动列车有多宽吗？	3,200 mm	单位
请问田浦站的乘客人数及统计年度分别是多少？	2,530[1]人/日（不含下车乘客） -2012年-	日期
昂达845gen的芯片组叫什么？	intel 845ge 芯片组	公司
山特3c20ks可以输入多少范围的电压？	304--478vac	单位
江苏师范大学南京校区原来属于什么校区？	徐州师范大学南京校区	地点
博鳌·海御的面积有多大？	123000平方米	单位
萧清斐的原名是什么？	肖 杰	人物
世界报是什么时候创刊的？	1989年10月23日，25年前, 称作 el mundo del siglo veinte	日期
张凯贞现今排名是多少？	124	数字
acer aspire m5800的cpu 频率是多少？	2330mhz	单位
请问后方谋杀案第一季是哪个国家的？	英国	国家
lg optimus nexus是什么时候上市的？	2012年	日期
女娲庙于什么时候始建？	始建于北齐，已有1450年的历史	日期
乐富邨是什么时候入伙的？	1984年	日期
新干线0系电力动车组有多长？	车头：25,150mm其他：25,000 mm	用语
请问墨子号人力飞机有多长？	7.4米	单位
石壁水库有多高？	48.59米	单位
请问厚德邨有多少个楼宇？	6	数字
大家知道马来西亚华人主要分布在哪里吗？	吉隆坡	景点
红良优166是什么时候审定的？	2005年、2006年	日期
请问日立ras/c-35dvy属于什么类型？ 	卧室	书籍
你知道阿卡迪亚国家公园的主管团体吗？	美国国家公园管理局	组织机构
澳门巴士6a路线属于什么性质？	循环线	路线
请问五台县人民政府属于哪个行政区？	山西省忻州市	行政区划
你知道台风战斗机的首飞时间吗？	1994年3月27日	日期
松下tc-32lx1d的尺寸是多少？	844×478×137mm	单位
你知道柯尼塞格agera的座位材质吗？	真皮	皮肤
你知道陈子忠的生卒时间吗？	1879~1952年	日期
你知道金门大桥的最大跨度吗？	280米	单位
令人上瘾的游戏属于什么类型？	益智休闲	游戏
长城v2435的液晶板是什么类型？	led	英文名
pmp考试属于什么机构？	美国项目管理协会	组织机构
畅春园的东西宽是多少？	600米	单位
万家乐ljsq21-12u1的额定热负荷是多少？ 	21mj/h	单位
koyo 22213rhrk+h313x轴承的d(内径)是多少？	60mm	单位
长生界这本小说有多少字？	3068008	数字
哪一天是阿塞拜疆民主共和国的国庆？	1918年5月	日期
thinkpad x61s 7666ku1最大可以支持多少内存？	4gb	单位
谁是能熊的上司？	墨尘音	人物
谁是慧眼识英才的总监制？	张华山	人物
谁是嘉里中心的投资公司？	香港嘉里集团	公司
